X,Y,Z,Travg,Uavg,Vavg,Wavg
50.0,50.0,50.0,1.0180885045983314e-06,1.8399983452224036,-0.014883021662230373,-0.010579480368627617
0.0,0.0,0.0,-1.0452458048603224e-06,0.0,0.0,0.0
1.0, 1.0, 1.0,-6.086387199233349e-11,0.0,0.0,0.0
