X,Y,Z,Travg,Uavg,Vavg,Wavg
50.0,50.0,50.0,1.5731880003503507e-05,1.8464743637238892,-0.01609055548902477,-0.010555178717822236
0.0,0.0,0.0,1.9599975602768742e-06,0.0,0.0,0.0
1.0, 1.0, 1.0,2.4123463121639315e-09,0.0,0.0,0.0
